Contig ID,Size,Lhav_ech1,Lhav F RPKM
Lhav_v2_contig_10363,1458,5608,42.24459083
Lhav_v2_contig_10364,1752,3776,23.67110385
Lhav_v2_contig_10365,648,740,12.54230452
Lhav_v2_contig_10366,513,1933,41.38425257
Lhav_v2_contig_10367,2409,534,2.434585797
Lhav_v2_contig_10368,3214,2993,10.22778221
Lhav_v2_contig_10369,1087,1696,17.13629504
Lhav_v2_contig_1037,837,18,0.236193354
Lhav_v2_contig_10370,2913,5531,20.85373262
Lhav_v2_contig_10371,945,306,3.55639708
Lhav_v2_contig_10372,4084,12386,33.30933553
Lhav_v2_contig_10373,2927,2665,9.999887587
Lhav_v2_contig_10374,3293,3930,13.1075477
Lhav_v2_contig_10375,2843,264,1.019876757
Lhav_v2_contig_10376,958,98,1.123520998
Lhav_v2_contig_10377,808,11182,151.9948084
Lhav_v2_contig_10378,589,56,1.044223251
Lhav_v2_contig_10379,639,88,1.51252458
Lhav_v2_contig_1038,817,6383,85.80713763
Lhav_v2_contig_10380,1488,49,0.361671074
Lhav_v2_contig_10381,5965,4889,9.001817756
Lhav_v2_contig_10382,2468,7163,31.87648477
Lhav_v2_contig_10383,2084,5376,28.33232223
Lhav_v2_contig_10384,1012,60,0.651165473
Lhav_v2_contig_10385,920,6,0.071628202
Lhav_v2_contig_10386,2186,1032,5.185016786
Lhav_v2_contig_10387,787,1748,24.39424172
Lhav_v2_contig_10388,273,170,6.839225154
Lhav_v2_contig_10389,798,439,6.042021355
Lhav_v2_contig_1039,1223,1016,9.124054651
Lhav_v2_contig_10390,1172,1568,14.69396746
Lhav_v2_contig_10391,401,117,3.204513578
Lhav_v2_contig_10392,930,5671,66.97262566
Lhav_v2_contig_10393,980,1051,11.77869747
Lhav_v2_contig_10394,745,327,4.820722216
Lhav_v2_contig_10395,1304,217,1.827690984
Lhav_v2_contig_10396,805,4405,60.09947239
Lhav_v2_contig_10397,587,285,5.332457291
Lhav_v2_contig_10398,2085,1883,9.918931424
Lhav_v2_contig_10399,418,1378,36.2070851
Lhav_v2_contig_104,1807,15256,92.72634777
Lhav_v2_contig_1040,1756,28042,175.39011
Lhav_v2_contig_10400,724,2546,38.62250696
Lhav_v2_contig_10401,1662,1747,11.5446963
Lhav_v2_contig_10402,699,10462,164.3834788
Lhav_v2_contig_10403,1291,301,2.560712847
Lhav_v2_contig_10404,1452,2364,17.88139854
Lhav_v2_contig_10405,691,1685,26.78196788
Lhav_v2_contig_10406,1362,1702,13.72470679
Lhav_v2_contig_10407,779,4342,61.21713331
Lhav_v2_contig_10408,1619,1199,8.13379011
Lhav_v2_contig_10409,1636,149,1.000284631
Lhav_v2_contig_1041,3745,3913,11.4756859
Lhav_v2_contig_10410,335,296,9.704374122
Lhav_v2_contig_10411,430,386,9.859150045
Lhav_v2_contig_10412,680,740,11.95207842
Lhav_v2_contig_10413,4290,1947,4.984588215
Lhav_v2_contig_10414,1920,2695,15.41622953
Lhav_v2_contig_10415,2317,66,0.312851707
Lhav_v2_contig_10416,976,1811,20.37929987
Lhav_v2_contig_10417,1196,317,2.911043596
Lhav_v2_contig_10418,2783,1765,6.965497335
Lhav_v2_contig_10419,2183,690,3.471490507
Lhav_v2_contig_1042,1752,2708,16.97599291
Lhav_v2_contig_10420,265,43,1.782145707
Lhav_v2_contig_10421,1027,3402,36.38182602
Lhav_v2_contig_10422,3420,2484,7.977119766
Lhav_v2_contig_10423,439,311,7.780661038
Lhav_v2_contig_10424,1571,2121,14.82808649
Lhav_v2_contig_10425,3269,483,1.622754556
Lhav_v2_contig_10426,655,121,2.028918945
Lhav_v2_contig_10427,258,425,18.09213631
Lhav_v2_contig_10428,236,196,9.121467087
Lhav_v2_contig_10429,1364,3083,24.82445836
Lhav_v2_contig_1043,1193,1058,9.740154618
Lhav_v2_contig_10430,2891,5047,19.17369612
Lhav_v2_contig_10431,1683,681,4.444097955
Lhav_v2_contig_10432,2278,6144,29.62225487
Lhav_v2_contig_10433,827,4740,62.9496702
Lhav_v2_contig_10434,793,765,10.59519307
Lhav_v2_contig_10435,3814,4084,11.7604969
Lhav_v2_contig_10436,270,208,8.460970831
Lhav_v2_contig_10437,924,3197,38.00067334
Lhav_v2_contig_10438,492,341,7.612194969
Lhav_v2_contig_10439,2900,13751,52.07831345
Lhav_v2_contig_1044,975,4320,48.66309851
Lhav_v2_contig_10440,1443,6662,50.70595005
Lhav_v2_contig_10441,1169,3980,37.39290343
Lhav_v2_contig_10442,348,551,17.38973572
Lhav_v2_contig_10443,1375,875,6.98917608
Lhav_v2_contig_10444,2239,100,0.490531085
Lhav_v2_contig_10445,1312,911,7.62614694
Lhav_v2_contig_10446,548,3669,73.5339305
Lhav_v2_contig_10447,3251,1168,3.945903866
Lhav_v2_contig_10448,320,21,0.720758783
Lhav_v2_contig_10449,383,337,9.663885016
Lhav_v2_contig_1045,2183,1388,6.98323018
Lhav_v2_contig_10450,1528,3,0.021563464
Lhav_v2_contig_10451,2517,92,0.401444247
Lhav_v2_contig_10452,205,2738,146.6898991
Lhav_v2_contig_10453,2609,323,1.3597187
Lhav_v2_contig_10454,506,403,8.747322857
Lhav_v2_contig_10455,1176,294,2.745747746
Lhav_v2_contig_10456,1334,2363,19.45487833
Lhav_v2_contig_10457,1816,1695,10.25119478
Lhav_v2_contig_10458,1478,2887,21.45324423
Lhav_v2_contig_10459,933,552,6.497975372
Lhav_v2_contig_1046,3432,1309,4.189025407
Lhav_v2_contig_10460,3109,2310,8.160408224
Lhav_v2_contig_10461,3121,2960,10.41642208
Lhav_v2_contig_10462,1266,27,0.234234405
Lhav_v2_contig_10463,204,1442,77.63467155
Lhav_v2_contig_10464,987,1655,18.41626147
Lhav_v2_contig_10465,893,8179,100.5933743
Lhav_v2_contig_10466,629,1062,18.54361911
Lhav_v2_contig_10467,423,32,0.830864566
Lhav_v2_contig_10468,2144,2208,11.31084146
Lhav_v2_contig_10469,2290,3249,15.58241821
Lhav_v2_contig_1047,6506,52649,88.87849558
Lhav_v2_contig_10470,1174,2665,24.93157663
Lhav_v2_contig_10471,2953,2079,7.732352947
Lhav_v2_contig_10472,982,2702,30.22000166
Lhav_v2_contig_10473,830,636,8.415882247
Lhav_v2_contig_10474,2017,2372,12.91604096
Lhav_v2_contig_10475,1659,2102,13.91576073
Lhav_v2_contig_10476,297,0,0
Lhav_v2_contig_10477,358,16,0.490859932
Lhav_v2_contig_10478,327,238,7.993736556
Lhav_v2_contig_10479,2614,1903,7.995651048
Lhav_v2_contig_1048,1020,37076,399.2209546
Lhav_v2_contig_10480,564,121,2.35627998
Lhav_v2_contig_10481,269,814,33.23477569
Lhav_v2_contig_10482,587,1813,33.92191252
Lhav_v2_contig_10483,1381,3460,27.5171244
Lhav_v2_contig_10484,1033,894,9.505124819
Lhav_v2_contig_10485,467,177,4.16271821
Lhav_v2_contig_10486,2291,1781,8.538065011
